Juego,Fecha,Jugada,N0,N1,N2,N3,N4,N5
1483,8/6/2016 9:00:00 PM,03-16-19-23-24-29,3,16,19,23,24,29
1484,8/10/2016 9:00:00 PM,04-05-14-19-21-30,4,5,14,19,21,30
1485,8/13/2016 9:00:00 PM,01-11-13-17-26-28,1,11,13,17,26,28
1486,8/17/2016 9:00:00 PM,01-03-04-14-31-33,1,3,4,14,31,33
1487,8/20/2016 9:00:00 PM,12-13-15-20-23-28,12,13,15,20,23,28
1488,8/24/2016 9:00:00 PM,13-14-15-21-22-27,13,14,15,21,22,27
1489,8/27/2016 9:00:00 PM,01-15-19-24-25-26,1,15,19,24,25,26
1490,8/31/2016 9:00:00 PM,04-16-19-20-25-31,4,16,19,20,25,31
1491,9/3/2016 9:00:00 PM,01-02-04-18-25-30,1,2,4,18,25,30
1492,9/7/2016 9:00:00 PM,01-06-10-12-27-28,1,6,10,12,27,28
1493,9/10/2016 9:00:00 PM,09-13-17-19-21-24,9,13,17,19,21,24
1494,9/14/2016 9:00:00 PM,04-09-16-19-27-32,4,9,16,19,27,32
1495,9/17/2016 9:00:00 PM,04-06-20-28-30-31,4,6,20,28,30,31
1496,9/21/2016 9:00:00 PM,01-04-07-12-13-20,1,4,7,12,13,20
1497,9/24/2016 9:00:00 PM,07-12-19-24-30-33,7,12,19,24,30,33
1498,9/28/2016 9:00:00 PM,01-07-14-16-20-24,1,7,14,16,20,24
1499,10/1/2016 9:00:00 PM,04-13-26-29-31-32,4,13,26,29,31,32
1500,10/5/2016 9:00:00 PM,03-06-07-11-18-22,3,6,7,11,18,22
1501,10/8/2016 9:00:00 PM,06-07-21-27-30-31,6,7,21,27,30,31
1502,10/12/2016 9:00:00 PM,02-07-14-22-23-32,2,7,14,22,23,32
1503,10/15/2016 9:00:00 PM,03-07-15-26-28-29,3,7,15,26,28,29
1504,10/19/2016 9:00:00 PM,02-08-09-18-27-32,2,8,9,18,27,32
1505,10/22/2016 9:00:00 PM,03-04-08-11-21-33,3,4,8,11,21,33
1506,10/26/2016 9:00:00 PM,02-03-11-16-18-22,2,3,11,16,18,22
1507,10/29/2016 9:00:00 PM,03-07-15-22-32-33,3,7,15,22,32,33
1508,11/2/2016 9:00:00 PM,05-06-19-20-22-31,5,6,19,20,22,31
1509,11/5/2016 9:00:00 PM,03-06-18-25-26-28,3,6,18,25,26,28
1510,11/9/2016 9:00:00 PM,01-02-04-08-24-33,1,2,4,8,24,33
1511,11/12/2016 9:00:00 PM,05-10-21-23-27-31,5,10,21,23,27,31
1512,11/16/2016 9:00:00 PM,06-08-13-16-21-30,6,8,13,16,21,30
1513,11/19/2016 9:00:00 PM,01-09-10-12-22-26,1,9,10,12,22,26
1517,12/3/2016 9:00:00 PM,01-02-13-16-18-23,1,2,13,16,18,23
1518,12/7/2016 9:00:00 PM,05-08-14-19-24-33,5,8,14,19,24,33
1519,12/10/2016 9:00:00 PM,04-07-19-25-29-31,4,7,19,25,29,31
1520,12/14/2016 9:00:00 PM,01-02-14-17-21-32,1,2,14,17,21,32
1521,12/17/2016 9:00:00 PM,03-04-11-15-23-28,3,4,11,15,23,28
1522,12/21/2016 9:00:00 PM,11-16-17-20-30-33,11,16,17,20,30,33
1523,12/24/2016 9:00:00 PM,01-04-12-17-26-27,1,4,12,17,26,27
1524,12/28/2016 9:00:00 PM,16-19-22-24-28-32,16,19,22,24,28,32
1525,12/31/2016 9:00:00 PM,08-17-20-26-27-33,8,17,20,26,27,33
1526,1/4/2017 9:00:00 PM,06-08-13-20-26-27,6,8,13,20,26,27
1527,1/7/2017 9:00:00 PM,02-03-16-17-21-28,2,3,16,17,21,28
1528,1/11/2017 9:00:00 PM,03-05-11-16-18-24,3,5,11,16,18,24
1529,1/14/2017 9:00:00 PM,04-14-19-20-23-31,4,14,19,20,23,31
1530,1/18/2017 9:00:00 PM,05-11-18-25-26-31,5,11,18,25,26,31
1531,1/21/2017 9:00:00 PM,01-11-21-23-26-28,1,11,21,23,26,28
1532,1/25/2017 9:00:00 PM,01-12-14-21-22-24,1,12,14,21,22,24
1533,1/28/2017 9:00:00 PM,03-06-19-20-21-22,3,6,19,20,21,22
1534,2/1/2017 9:00:00 PM,01-05-08-11-24-33,1,5,8,11,24,33
1535,2/4/2017 9:00:00 PM,01-03-13-18-24-29,1,3,13,18,24,29
1536,2/8/2017 9:00:00 PM,05-13-26-27-29-33,5,13,26,27,29,33
1537,2/11/2017 9:00:00 PM,07-14-15-19-20-31,7,14,15,19,20,31
1538,2/15/2017 9:00:00 PM,07-08-17-20-24-26,7,8,17,20,24,26
1539,2/18/2017 9:00:00 PM,03-04-11-16-23-24,3,4,11,16,23,24
